date_reservation, date_accommodation_begin, nights7, city, hotel_name, room_type, number_of_rooms, total_price, cancellation7, cancellation2
2024-06-10,  2024-07-26,  1,  Hong Kong,  The Peninsula Hong Kong,  standard,  5, 12550,  0.3,  0.8
2024-05-23,  2024-07-16,  1,  Pekin,  Holiday Inn Express Beijing Dongzhimen,  suit,  2,  3680,  0.2,  0.85
2024-06-16,  2024-08-05,  6,  Muğla,  Mandarin Oriental,  large,  6, 143280,  0.35,  0.65
2024-06-01,  2024-07-19,  13,  Auckland,  Cordis,  deluxe,  2, 60060,  0.25,  0.7
2024-06-03,  2024-07-20,  2,  Bali,  Bali Niksoma Boutique Beach Resort,  large,  2, 5480,  0.35000000000000003,  0.7
2024-06-01,  2024-07-22,  5,  Muğla,  Hotel Unique,  deluxe,  1,  6650,  0.35000000000000003,  0.85
2024-06-08,  2024-07-28,  5,  Roma,  Hassler Roma,  standard,  2,  52600,  0.4,  1
2024-05-29,  2024-07-23,  9,  Şanlıurfa,  El Ruha Hotel,  executive,  1,  29700,  0.3,  0.8
2024-06-12,  2024-08-03,  1,  San Francisco,  Hotel Zephyr,  standard,  13,  7800,  0.2,  0.30000000000000004
2024-06-16,  2024-08-08,  2,  Mumbai,  Trident Nariman Point,  executive,  2, 9840,  0.2,  0.55
2024-05-26,  2024-07-11,  6,  Konya,  Hilton Garden Inn Konya,  deluxe,  15, 208800,  0.3,  1
2024-06-02,  2024-07-23,  2,  Roma,  Hotel Lancelot,  suit,  8, 29920,  0.30000000000000004,  0.30000000000000004
2024-06-21,  2024-08-05,  2,  Buenos Aires,  Hotel Pulitzer Buenos Aires,  standard,  2, 5760,  0.2,  0.55
2024-06-19,  2024-08-03,  1,  Mumbai,  The Taj Mahal Palace,  deluxe,  2, 4220,  0.25,  0.5
2024-06-02,  2024-07-16,  12,  Ankara,  Movenpick Hotel Ankara,  standard,  2, 33360,  0.30000000000000004,  0.7
2024-06-10,  2024-08-01,  6,  Singapur,  Village Hotel Bugis,  executive,  2,  19200,  0.25,  0.85
2024-06-10,  2024-07-25,  10,  Barselona,  Hotel Arts Barcelona,  suit,  31, 957900,  0.4,  1
2024-06-09,  2024-07-29,  3,  Gaziantep,  Yunus Hotel,  large,  7,  20160,  0.25,  0.6000000000000001
2024-05-24,  2024-07-15,  1,  Londra,  Premier Inn London,  executive,  1,  2000,  0.25,  0.30000000000000004
2024-06-12,  2024-08-05,  2,  Aydın,  Surtel Hotel,  deluxe,  4, 13760,  0.25,  0.6000000000000001
2024-05-22,  2024-07-13,  13,  İstanbul,  Ramada by Wyndham,  suit,  2,  36660,  0.2,  0.7
2024-05-23,  2024-07-15,  2,  Buenos Aires,  Hotel Costa Rica,  large,  1,  1580,  0.30000000000000004,  0.45000000000000007
2024-06-12,  2024-08-01,  1,  Madrid,  Petit Palace Cliper Gran Via,  standard,  1,  950,  0.30000000000000004,  0.30000000000000004
2024-06-04,  2024-07-18,  2,  Mexico City,  Four Seasons Hotel Mexico City,  large,  10, 60000,  0.35,  0.5
2024-06-06,  2024-07-31,  2,  Paris,  Shangri-La Hotel Paris,  executive,  2,  14560,  0.4,  1
2024-06-03,  2024-07-19,  1,  Şanghay,  Waldorf Astoria Shanghai on the Bund,  large,  1, 3710,  0.4,  0.95
2024-06-27,  2024-08-10,  12,  Eskişehir,  Tasigo Hotels Eskisehir,  deluxe,  1, 35640,  0.4,  0.95
2024-05-25,  2024-07-19,  2,  Nairobi,  The Sarova Stanley,  executive,  1,  7760,  0.4,  1
2024-06-14,  2024-08-06,  4,  Las Vegas,  The STRAT Hotel,  executive,  1, 5960,  0.25,  0.6000000000000001
2024-06-22,  2024-08-05,  14,  Moskova,  The Ritz-Carlton Moscow,  deluxe,  2, 59080,  0.25,  1
2024-05-26,  2024-07-16,  7,  Londra,  Premier Inn London,  standard,  9, 51660,  0.25,  0.30000000000000004
2024-05-30,  2024-07-15,  11,  İstanbul,  Four Seasons Hotel Istanbul,  large,  9, 267300,  0.35,  0.95
2024-06-04,  2024-07-25,  8,  New York,  Four Seasons Hotel New York,  executive,  2,  34720,  0.3,  1
2024-06-18,  2024-08-10,  1,  Paris,  Ibis Paris Montmartre,  large,  7, 5950,  0.15000000000000002,  0.6000000000000001
2024-05-31,  2024-07-19,  4,  Paris,  Pullman Paris Tour Eiffel,  executive,  2, 14480,  0.35000000000000003,  0.55
2024-05-31,  2024-07-16,  14,  Madrid,  The Westin Palace Madrid,  large,  2, 68320,  0.35,  1
2024-06-15,  2024-08-09,  3,  Şanghay,  Shanghai Blue Mountain Hostel,  suit,  1,  4050,  0.30000000000000004,  0.45000000000000007
2024-06-16,  2024-07-30,  1,  Riyadh,  Four Seasons Hotel Riyadh,  suit,  7, 24080,  0.25,  1
2024-06-15,  2024-08-01,  1,  Milano,  Hotel Principe di Savoia,  suit,  18, 40680,  0.25,  0.65
