date_reservation, date_accommodation_begin, nights, city, hotel_name, room_type, number_of_rooms, total_price, cancellation7, cancellation2
2024-06-01, 2024-07-26, 1, Hong Kong, The Peninsula Hong Kong, standard, 5, 15500, 0.3, 0.8
2024-05-23, 2024-07-16, 1, Pekin, Holiday Inn Express Beijing Dongzhimen, suit, 2, 3680, 0.2, 0.85
2024-06-14, 2024-08-05, 6, Muğla, Mandarin Oriental, large, 6, 200160, 0.35, 0.65
2024-05-25, 2024-07-19, 13, Auckland, Cordis, deluxe, 2, 191100, 0.25, 0.7
2024-05-28, 2024-07-20, 2, Bali, Bali Niksoma Boutique Beach Resort, large, 2, 7360, 0.35000000000000003, 0.7
2024-06-01, 2024-07-22, 5, Muğla, Hotel Unique, deluxe, 1, 6650, 0.35000000000000003, 0.85
2024-06-08, 2024-07-28, 5, Roma, Hassler Roma, standard, 2, 52600, 0.4, 1
2024-05-29, 2024-07-23, 9, Şanlıurfa, El Ruha Hotel, executive, 1, 29700, 0.3, 0.8
2024-06-12, 2024-08-03, 1, San Francisco, Hotel Zephyr, standard, 13, 7800, 0.2, 0.30000000000000004
2024-06-15, 2024-08-08, 2, Mumbai, Trident Nariman Point, executive, 2, 10080, 0.2, 0.55
2024-05-21, 2024-07-11, 6, Konya, Hilton Garden Inn Konya, deluxe, 15, 252900, 0.3, 1
2024-06-01, 2024-07-23, 2, Roma, Hotel Lancelot, suit, 8, 31200, 0.30000000000000004, 0.30000000000000004
2024-06-15, 2024-08-05, 2, Buenos Aires, Hotel Pulitzer Buenos Aires, standard, 2, 7000, 0.2, 0.55
2024-06-10, 2024-08-03, 1, Mumbai, The Taj Mahal Palace, deluxe, 2, 10200, 0.25, 0.5
2024-05-26, 2024-07-16, 12, Ankara, Movenpick Hotel Ankara, standard, 2, 44160, 0.30000000000000004, 0.7
2024-06-10, 2024-08-01, 6, Singapur, Village Hotel Bugis, executive, 2, 19200, 0.25, 0.85
2024-06-02, 2024-07-25, 10, Barselona, Hotel Arts Barcelona, suit, 31, 2449000, 0.4, 1
